,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
216,Die Another Day ,2002,Action,PG-13,133,Metro-Goldwyn-Mayer (MGM),"$142,000,000","$160,942,139","$271,028,977","$431,971,116",6.1
217,The Secret Life of Pets 2 ,2019,Family,PG,86,Universal Pictures,"$80,000,000","$158,874,395","$271,176,898","$430,051,293",6.4
218,Cast Away ,2000,Drama,PG-13,143,Twentieth Century Fox,"$90,000,000","$233,632,142","$196,000,000","$429,632,142",7.8
219,Rampage ,2018,Adventure,PG-13,107,Warner Bros.,"$120,000,000","$101,028,233","$327,000,000","$428,028,233",6.1
220,The Matrix Revolutions ,2003,Action,R,129,Warner Bros.,"$150,000,000","$139,313,948","$288,029,350","$427,343,298",6.7
221,Django Unchained ,2012,Drama,R,165,The Weinstein Company,"$100,000,000","$162,805,434","$262,562,804","$425,368,238",8.5
222,The King's Speech ,2010,Biography,R,118,The Weinstein Company,"$15,000,000","$135,453,143","$288,545,959","$423,999,102",8.0
223,The Chronicles of Narnia: Prince Caspian ,2008,Action,PG,150,Walt Disney Studios Motion Pictures,"$225,000,000","$141,621,490","$278,044,078","$419,665,568",6.5
224,Sex and the City ,2008,Romance,R,145,Warner Bros.,"$65,000,000","$152,647,258","$266,118,063","$418,765,321",7.3
225,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,Fantasy,PG,113,Twentieth Century Fox,"$155,000,000","$104,386,950","$311,299,267","$415,686,217",6.3
226,Jason Bourne ,2016,Thriller,PG-13,123,Universal Pictures,"$120,000,000","$162,434,410","$253,050,504","$415,484,914",6.6
227,The Wolverine ,2013,Action,PG-13,126,Twentieth Century Fox,"$120,000,000","$132,556,852","$282,271,394","$414,828,246",6.7
228,Kingsman: The Secret Service ,2015,Comedy,R,129,Twentieth Century Fox,"$81,000,000","$128,261,724","$286,089,822","$414,351,546",7.7
229,Night at the Museum: Battle of the Smithsonian ,2009,Family,PG,105,Twentieth Century Fox,"$150,000,000","$177,243,721","$235,862,449","$413,106,170",6.0
230,Pacific Rim ,2013,Adventure,PG-13,131,Warner Bros.,"$190,000,000","$101,802,906","$309,200,000","$411,002,906",6.9
231,Kingsman: The Golden Circle ,2017,Thriller,R,141,Twentieth Century Fox,"$104,000,000","$100,234,838","$310,667,824","$410,902,662",6.7
232,The Mummy ,2017,Fantasy,PG-13,111,Universal Pictures,"$125,000,000","$80,227,895","$329,003,712","$409,231,607",7.1
233,Ice Age: Collision Course ,2016,Family,PG,94,Twentieth Century Fox,"$105,000,000","$64,063,008","$344,516,030","$408,579,038",5.7
234,Signs ,2002,Sci-Fi,PG-13,106,Walt Disney Studios Motion Pictures,"$72,000,000","$227,966,634","$180,281,283","$408,247,917",6.8
235,X2: X-Men United ,2003,Sci-Fi,PG-13,134,Twentieth Century Fox,"$110,000,000","$214,949,694","$192,761,855","$407,711,549",
236,Twilight ,2008,Drama,PG-13,122,Summit Entertainment,"$37,000,000","$192,769,854","$214,417,861","$407,187,715",5.3
237,Alita: Battle Angel ,2019,Sci-Fi,PG-13,122,Twentieth Century Fox,"$170,000,000","$85,838,210","$319,142,333","$404,980,543",7.3
238,The Mummy: Tomb of the Dragon Emperor ,2008,Fantasy,PG-13,112,Universal Pictures,"$145,000,000","$102,491,776","$300,958,054","$403,449,830",5.2
239,Prometheus ,2012,Adventure,R,124,Twentieth Century Fox,"$130,000,000","$126,477,084","$276,877,385","$403,354,469",7.0
240,TRON: Legacy ,2010,Action,PG,125,Walt Disney Studios Motion Pictures,"$170,000,000","$172,062,763","$228,000,000","$400,062,763",6.8
241,Mission: Impossible III ,2006,Thriller,PG-13,126,Paramount Pictures,"$150,000,000","$134,029,801","$264,449,696","$398,479,497",6.9
242,Snow White and the Huntsman ,2012,Action,PG-13,127,Universal Pictures,"$170,000,000","$155,332,381","$241,260,448","$396,592,829",6.1
243,Mamma Mia! Here We Go Again ,2018,Comedy,PG-13,114,Universal Pictures,"$75,000,000","$120,634,935","$274,409,771","$395,044,706",6.6
244,Solo: A Star Wars Story ,2018,Sci-Fi,PG-13,135,Walt Disney Studios Motion Pictures,"$275,000,000","$213,767,512","$179,157,295","$392,924,807",6.9
245,The Wolf of Wall Street ,2013,Drama,R,180,Paramount Pictures,"$100,000,000","$116,900,694","$275,100,000","$392,000,694",8.2
246,Superman Returns ,2006,Action,PG-13,154,Warner Bros.,"$270,000,000","$200,081,192","$191,000,000","$391,081,192",6.1
247,Independence Day: Resurgence ,2016,Action,PG-13,120,Twentieth Century Fox,"$165,000,000","$103,144,286","$286,537,649","$389,681,935",5.2
248,Live Free or Die Hard ,2007,Thriller,PG-13,128,Twentieth Century Fox,"$110,000,000","$134,529,403","$253,626,608","$388,156,011",7.1
249,Godzilla: King of the Monsters ,2019,Sci-Fi,PG-13,132,Warner Bros.,"$170,000,000","$110,500,138","$276,100,000","$386,600,138",6.0
250,Home ,2015,Family,PG,94,Twentieth Century Fox,"$135,000,000","$177,397,510","$208,644,097","$386,041,607",6.5
251,Star Trek ,2009,Sci-Fi,PG-13,127,Paramount Pictures,"$150,000,000","$257,730,019","$127,950,427","$385,680,446",7.9
