,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
2057,The Watch ,2012,Comedy,R,102,Twentieth Century Fox,"$68,000,000","$35,353,000","$32,914,862","$68,267,862"
1606,Saw VI ,2009,Mystery,R,90,Lionsgate,"$11,000,000","$27,693,292","$40,540,862","$68,234,154"
947,Prime ,2005,Romance,PG-13,105,Universal Pictures,"$22,000,000","$22,827,153","$45,110,341","$67,937,494"
1743,Legion ,2010,Horror,R,100,Screen Gems,"$26,000,000","$40,168,080","$27,750,578","$67,918,658"
1751,The American ,2010,Crime,R,105,Focus Features,"$20,000,000","$35,606,376","$32,269,905","$67,876,281"
3144,A Beautiful Day in the Neighborhood ,2019,Biography,PG,109,Sony Pictures Entertainment (SPE),"$25,000,000","$61,704,055","$6,056,822","$67,760,877"
435,Star Trek: Nemesis ,2002,Action,PG-13,116,Paramount Pictures,"$60,000,000","$43,254,409","$24,082,061","$67,336,470"
2830,American Assassin ,2017,Action,R,111,Lionsgate,"$33,000,000","$36,249,674","$30,984,514","$67,234,188"
901,Boogeyman ,2005,Thriller,PG-13,89,Screen Gems,"$20,000,000","$46,752,382","$20,440,477","$67,192,859"
3244,War ,2019,Action,,154,Yash Raj Films,"$21,000,000","$4,654,000","$62,525,155","$67,179,155"
1068,When a Stranger Calls ,2006,Thriller,PG-13,87,Screen Gems,"$15,000,000","$47,860,214","$19,201,909","$67,062,123"
1779,Skyline ,2010,Action,PG-13,92,Universal Pictures,"$10,000,000","$21,393,620","$45,591,267","$66,984,887"
2356,The Giver ,2014,Romance,PG-13,97,The Weinstein Company,"$25,000,000","$45,090,374","$21,890,082","$66,980,456"
2012,Madea's Witness Protection ,2012,Comedy,PG-13,114,Lionsgate,"$20,000,000","$65,653,242","$1,246,000","$66,899,242"
2493,Selma ,2014,Biography,PG-13,128,Paramount Pictures,"$20,000,000","$52,076,908","$14,711,000","$66,787,908"
341,Not Another Teen Movie ,2001,Comedy,R,89,Sony Pictures Entertainment (SPE),"$15,000,000","$38,252,284","$28,216,048","$66,468,332"
3002,"Love, Simon ",2018,Comedy,PG-13,110,Twentieth Century Fox,"$17,000,000","$40,826,341","$25,489,948","$66,316,289"
3005,Mile 22 ,2018,Action,R,94,STX Entertainment,"$50,000,000","$36,108,758","$30,200,000","$66,308,758"
450,Bad Company ,2002,Action,PG-13,116,Walt Disney Studios Motion Pictures,"$70,000,000","$30,160,161","$35,817,134","$65,977,295"
1096,Flags of Our Fathers ,2006,Adventure,R,135,DreamWorks,"$90,000,000","$33,602,376","$32,297,873","$65,900,249"
759,Taking Lives ,2004,Thriller,R,103,Warner Bros.,"$45,000,000","$32,682,342","$32,788,187","$65,470,529"
2721,Moonlight ,2016,Drama,R,111,A24,"$4,000,000","$27,854,932","$37,481,671","$65,336,603"
